#Keys           100
#Texts/Key  1048576
#Steps            3
Alpha: 0000000080008000
Delta: 8300830281008102
key: 16494094c964d5872ca1b3a2aa817209
Counter: 16
key: 264241aa0193bca607496796fe8ef396
Counter: 9
key: 5c4fbca99143daf94229f37a5535e5fe
Counter: 12
key: c71238ee6c6aba78c2fc1a59e7d3a992
Counter: 6
key: 3143d678f93927390d4593dbbf66dd66
Counter: 17
key: 8806885cdb2b652a68ddca35912d389d
Counter: 14
key: 46ab9cc9d4ce00e77cbeae2614cfbcd3
Counter: 18
key: 90d39f1808555dc2191dc652a56c1c68
Counter: 12
key: 282ad084cabe4f61fa566dfc8bdc4481
Counter: 13
key: 4212f816f0d369b4a953656ff802ff92
Counter: 10
key: d71aff998ccc7093485b53a47967b857
Counter: 12
key: ef8b19ba156aea28548a74ef7fda44ae
Counter: 15
key: 7214374c4c35b48d04fe41e07a3bab4a
Counter: 13
key: 472153f4ac586304f7ac457be698449c
Counter: 11
key: 32c5d352391209097ac76b90d805f43e
Counter: 8
key: 46f9101ac660e9268253801ac6b5a050
Counter: 12
key: 78f8cbd6efafb831296e50aea6cc57db
Counter: 8
key: a2805b768c137aff56a98cfae6c196d2
Counter: 12
key: 2a6ea0655694e3182ec553cf388a2799
Counter: 8
key: f85ca561f244c914690e88325ccefd08
Counter: 8
key: 1c6982cbbab31e9b2fdb329110463ddd
Counter: 10
key: 3760402d6aacb6382873e9bd99ef5c17
Counter: 13
key: d1491647a5925d2708190f03ef1d6f6b
Counter: 15
key: ebd544e698694cce9f441d69c46e0178
Counter: 19
key: 1988cb4b6d5c638afbd63fb24b6f78fe
Counter: 7
key: 1442cf9bcea8bb9cad7bc3118774d565
Counter: 27
key: 7b13695e0c13dbccf50e77a5dfd381ec
Counter: 16
key: d6f4ea287eb787b67cbabeda57818f2b
Counter: 12
key: 14d91bfd26e82abbe6524b009af03c1a
Counter: 8
key: 19defd107fffa807da686d50e125e21a
Counter: 10
key: bcd7e727c559215064ce7a1ee653cb23
Counter: 10
key: 0bae2db86d51dd120135feecc4108d9f
Counter: 14
key: 4459eddd63a01489ff1105949b18bdb4
Counter: 13
key: ac5216d5b7f139b11f8ec522980660e7
Counter: 9
key: 4d45caf269f7fd80b53926376ca20efe
Counter: 17
key: 3e2579f1a16974f3e8121a78bf36b1d9
Counter: 10
key: 98c29f69d8b39a8d643b2a20d7b1880a
Counter: 7
key: 7dda26a9068362eca0c690aee7c8a674
Counter: 19
key: bcf1c23aa8f6d7e94f439a629e446f45
Counter: 11
key: ba7f6379a81f16237da900773e51c80e
Counter: 8
key: d4a133a12ba5d7295c0a49f36f1a82f8
Counter: 14
key: 55d41933deebe911e3603d7df9c69ec0
Counter: 8
key: 524367361edb500e0c4c78b71fddd061
Counter: 9
key: aa6d8e3f2e57790eb3b010e81bd413e6
Counter: 13
key: 68556c79b42b15258c9c80277d67df46
Counter: 10
key: a7066d3029b082b4c5225f657b604667
Counter: 9
key: 2fb2ffd6b4c745a8814afd1218c91223
Counter: 11
key: f2d22a4d78b2f055bc84dec2a7c9fcbc
Counter: 12
key: ef6d59ee11db0bce32b304842db4be76
Counter: 13
key: da621bccce1faad93d8f38de805aca48
Counter: 16
key: d337ff88172fb0be90b384d964f3f95c
Counter: 11
