#Keys            100
#Texts/Key 134217728
#Steps            3
Alpha: 0000000080008000
Delta: 8300830281008102
key: b457f47a8a246f2fce011903a21e6531
Counter: 1618
key: 66472afef53d40eb70a6b3f9c776da7a
Counter: 1802
key: 8326817f17a2ef764dd4828f0dd3b520
Counter: 2085
key: cd14c698cb9bcb0f3810123173353aa2
Counter: 1552
key: 1c1ec6533aca3e8c531b095741b876ba
Counter: 1164
key: 81edc729528cf96f564aa4c16796271d
Counter: 1596
key: d19fc9d958814f7d2311a1355d2b7cfa
Counter: 1492
key: 162d4006a6f343ccee479ac6c8729ec0
Counter: 1163
key: 016e59d78c017274721b528d8a072594
Counter: 1483
key: d2c48c0415ab8e6c2b51ab9e68113688
Counter: 1659
key: 5001b56b44eed4cc6753744437376b1a
Counter: 1328
key: d8ffb6e14bbd4424cfe35ad94c8cc7a9
Counter: 2318
key: dd6faa266b517a231f94f30f135a1df0
Counter: 1206
key: ac476e0900d5ffa70ca401e34dbb8393
Counter: 1471
key: d4fd4a6363923f47159f8c5bb6e6002f
Counter: 1437
key: 3970236a00bb6f0dc5a6e1fc65caea13
Counter: 1720
key: 24ff20ca9240dcf59f8952d58093e96c
Counter: 1818
key: 05e0c852a0133936222196f55c84f6e7
Counter: 2307
key: 0c41628e4343bc53bd8e3653bb0d8385
Counter: 1585
key: 17ac9f46938a54f71dc177b46e1b70f7
Counter: 1738
key: dfba08aacf8c2cef710758564b5f20e2
Counter: 1468
key: 4d90783021e7abea64fd6ff8f72e62ad
Counter: 1371
key: a3de20a229edfa6acaedfc9ff3d52528
Counter: 1370
key: d0f71aa2e519abf42d1f7842af821282
Counter: 1680
key: 3d17dab0a9980b34c167e0bff725a30c
Counter: 1204
key: 84d34812038d394534ae65e9fbef0b16
Counter: 1807
key: 4f9fb4061267162091500809a1e184be
Counter: 1809
key: 5faaa3ed015b147675369f95141cee54
Counter: 2306
key: cde3c5c5534bf92d9628dd7722c307d7
Counter: 1685
key: 6f375d2fa280bd1824cdf10e6f32216c
Counter: 1271
key: 45dfa24fc518a39c55edfbd79898dc4c
Counter: 1609
key: 8a92866864bd5cc0244c59fbaea4ec3b
Counter: 1514
key: 6e555210a56ac6a7c8d3bd4266f70e97
Counter: 1526
key: 7d956d3ba45aaa80479bf62d73c7ec2b
Counter: 1750
key: 0eb762dd125ddbc5294718bf44dcd25e
Counter: 1719
key: 96bc381531c086220921fa0f84e1d680
Counter: 1267
key: 0ed3da9a1407d636b3b2e62a146d2fb7
Counter: 1305
key: f29b765cbdc2abceb75456d6122e926f
Counter: 2051
key: 0bd64f9e290b82d6e0ef93251385fab5
Counter: 1735
key: 3ab3d4add6590bcaede087170e9945dd
Counter: 1745
key: b819aa58fec74e986447fc2760f74ebe
Counter: 1622
key: 3452c2bb14cef39373347e773a78169f
Counter: 1451
key: d77c11ca60314aa94ee1c574022959b7
Counter: 1617
key: 9adeb7a70b8a56f2723d8e091977a796
Counter: 1609
key: 0655b3a1df012dd410fb4c7b27275b23
Counter: 1177
key: ce85469ce841d8e9e2475b465aefb5a9
Counter: 1464
key: 7e2cb67236f8cb8f07f63974d5a388d7
Counter: 1573
key: 71509080648ad98becfeb51685eec620
Counter: 2240
key: 5b70bce6688274ab39cd00b9d9df9fc6
Counter: 1486
key: fcde77ac74b4d3e6bf408dc618f544e6
Counter: 1398
key: 554b475eb399620dfcafa283b7f44c23
Counter: 1435
key: a84529129eb7448d3e3b407aedcbee45
Counter: 1228
key: 1c7538dec0b93ec033ed26ebfaeb539d
Counter: 2394
key: 8518a466c3c3e905a430d9e13e8ba92c
Counter: 1816
key: 3c1a179791d645951b7dcd443d4ea706
Counter: 1500
key: c005abd1eb47ca9c6089c31b29a432df
Counter: 1777
key: 0c86f432392205987101cb935171b552
Counter: 1333
key: 6151b16ed4b7665fdaef47680e8f0d3a
Counter: 1677
key: e844fcbdf826d002134899f9cab30077
Counter: 1644
key: 341d63ad9158a2adf07c4eb005a78a0c
Counter: 1172
key: 204104aece8893b1c01072b22de11317
Counter: 1197
key: edb95599ffa01a4aac92b1c1e06cb26f
Counter: 1545
key: 305c70486afb37d3702d00e7f6b8657a
Counter: 2299
key: 2bd3479a9f77359bcd2f57b53d5af0fd
Counter: 1560
key: 08cf3a7a29759d2b9176e6daeb740c3d
Counter: 2299
key: f0f3f9df5419d0b5235dfb17ebe5374a
Counter: 1462
key: e3e3743c300fc6b0f9d6f7f1060b085a
Counter: 1575
key: ab28332e8950f7a051dc2f924dcf197e
Counter: 2091
key: 870e97ce507f4e3ab4e3068bd26c1eef
Counter: 1653
key: 93bdabf4c495291b00962326c6d451d1
Counter: 2160
key: 424413f84f21934e01c92ff7ff4a2405
Counter: 1545
key: 0e4f47abc4dee405cd643ddd08b01368
Counter: 1169
key: 5d4209cffa01d1c600d631b028ea0dbc
Counter: 1177
key: 557b94c375caa68f088a752db48e6996
Counter: 1698
key: 90e4083ef79001f47616735897d5d163
Counter: 1813
key: c91d2ca8b354b8621e387eaaa9fb4fcb
Counter: 1523
key: 185e83d222652ee252889e68696c2deb
Counter: 2182
key: d19fd3daa6f54c53b461bf03ca78ef0d
Counter: 1519
key: 0847d0fc4350c78e753d92c8451af878
Counter: 2402
key: dec28db4f1d817e2d8984f610141c06d
Counter: 1223
key: 6571f2c4e0de821a9d5072df7c69c31f
Counter: 2286
key: ac6a739e1c1e24419ead50a248c92dde
Counter: 1819
key: 9bb6c13a320e28f293e7a3121322402e
Counter: 2315
key: 4bc797d338f5623d6bfd62a307603325
Counter: 1792
key: 06362c39748584da9d9c8c77699efe36
Counter: 1260
key: d9c13ba31ebdd7a276178620654542ea
